pres.abs,northing,easting,altitude,distance,NoOfPools,NoOfSites,avrain,meanmin,meanmax
1,115,1047,1500,500,232,3,155.0,3.56666666666667,14.0
1,110,1042,1520,250,66,5,157.66666669999998,3.46666666666667,13.8
1,112,1040,1540,250,32,5,159.66666669999998,3.4,13.6
1,109,1033,1590,250,9,5,165.0,3.2,13.166666666666698
1,109,1032,1590,250,67,5,165.0,3.2,13.166666666666698
1,106,1018,1600,500,12,4,167.33333330000002,3.13333333333333,13.066666666666698
1,105,1015,1600,250,30,3,167.33333330000002,3.1,13.066666666666698
1,84,1014,1560,750,13,2,165.0,3.3,13.4
1,88,1023,1560,250,4,3,164.0,3.3,13.433333333333302
1,91,1025,1560,250,14,4,164.0,3.3,13.433333333333302
1,105,1037,1580,500,9,5,164.33333330000002,3.2333333333333303,13.266666666666698
1,110,1047,1520,500,11,3,157.66666669999998,3.46666666666667,13.8
1,98,1019,1460,750,7,7,153.33333330000002,3.6666666666666696,14.3
1,91,1018,1510,250,16,5,159.0,3.5,13.8666666666667
1,89,1020,1520,250,10,5,160.33333330000002,3.46666666666667,13.766666666666698
1,198,1090,1320,500,24,4,129.0,4.1,15.7
1,197,1086,1320,500,8,2,129.3333333,4.1,15.7
1,190,1119,1300,500,6,5,127.0,4.23333333333333,15.833333333333302
1,194,1117,1300,250,19,5,126.33333329999999,4.23333333333333,15.8666666666667
1,192,1100,1320,250,20,6,129.3333333,4.13333333333333,15.7
1,191,1103,1320,250,10,6,129.3333333,4.13333333333333,15.7
1,200,1127,1320,500,2,3,128.3333333,4.13333333333333,15.7
1,192,1108,1320,500,20,7,129.0,4.13333333333333,15.7
1,187,1105,1300,250,34,6,127.33333329999999,4.23333333333333,15.833333333333302
1,187,1108,1300,250,6,5,127.0,4.23333333333333,15.833333333333302
1,204,1130,1340,500,3,1,129.6666667,4.1,15.5
1,195,1119,1300,250,14,6,126.33333329999999,4.23333333333333,15.8666666666667
1,136,1101,1300,250,9,3,131.0,4.33333333333333,15.766666666666698
1,133,1098,1300,250,8,3,131.3333333,4.33333333333333,15.766666666666698
1,201,1216,1400,750,11,2,134.66666669999998,4.06666666666667,14.933333333333302
1,198,1182,1480,3250,24,0,143.33333330000002,3.8,14.2
1,208,1222,1360,750,7,2,130.3333333,4.13333333333333,15.333333333333302
1,219,1155,1420,3250,13,0,136.66666669999998,3.9,14.766666666666698
1,214,1092,1480,1000,23,3,143.33333330000002,3.6,14.233333333333302
1,230,1094,1580,500,15,4,150.66666669999998,3.2,13.4
1,223,1072,1530,1000,23,1,147.33333330000002,3.3333333333333304,13.8
1,227,1082,1500,500,48,4,144.0,3.5,14.066666666666698
1,209,1066,1480,500,23,3,144.66666669999998,3.56666666666667,14.233333333333302
1,205,1063,1480,500,8,3,144.66666669999998,3.56666666666667,14.233333333333302
1,204,1061,1480,500,4,4,145.0,3.56666666666667,14.2
1,208,1070,1460,500,34,3,142.66666669999998,3.63333333333333,14.4
1,227,1085,1540,500,24,4,147.66666669999998,3.3333333333333304,13.733333333333302
1,217,1089,1490,500,80,4,144.0,3.56666666666667,14.1333333333333
1,213,1088,1480,500,42,4,144.0,3.56666666666667,14.233333333333302
1,182,1007,1480,1250,34,4,149.0,3.46666666666667,14.2
1,203,1053,1520,500,21,3,149.0,3.4,13.8666666666667
1,200,1050,1500,500,34,0,147.66666669999998,3.46666666666667,14.033333333333301
1,191,1039,1460,250,32,2,145.0,3.6,14.4
1,193,1037,1480,250,45,1,147.0,3.53333333333333,14.2
1,194,1035,1480,250,10,3,146.66666669999998,3.53333333333333,14.2
1,188,1017,1500,500,19,3,149.66666669999998,3.4,14.033333333333301
1,186,1020,1500,500,28,5,149.66666669999998,3.43333333333333,14.033333333333301
1,202,995,1600,750,110,3,157.66666669999998,2.96666666666667,13.166666666666698
1,203,1002,1540,750,43,3,152.0,3.2,13.666666666666698
1,229,1106,1480,1250,47,4,141.66666669999998,3.6,14.233333333333302
1,222,1119,1460,1500,6,3,140.66666669999998,3.7333333333333303,14.3666666666667
1,228,1092,1560,500,68,2,149.0,3.2666666666666697,13.533333333333301
1,209,1009,1600,750,24,0,156.33333330000002,2.96666666666667,13.166666666666698
1,233,1087,1560,750,11,5,148.33333330000002,3.2333333333333303,13.533333333333301
1,219,991,1600,500,25,4,155.33333330000002,2.93333333333333,13.166666666666698
1,217,1043,1600,250,96,4,154.66666669999998,3.0,13.2
1,217,1042,1600,250,75,3,154.66666669999998,3.0,13.2
1,217,1023,1620,2000,14,1,157.0,2.9,13.033333333333301
1,216,995,1600,500,52,4,156.0,2.93333333333333,13.166666666666698
1,188,955,1580,1750,12,2,158.33333330000002,2.96666666666667,13.3
1,226,981,1600,1250,8,3,154.66666669999998,2.86666666666667,13.166666666666698
